The following results are for adding links using posts/add/.  When deleting links using posts/delete, response times are generally not much more than the ping time to the server.

Result (with  Request time,  Response
nominal 19    Seconds since  time in
sec timeout)  Apple epoch    seconds
------------- ------------   --------
Success-secs: 421808967.912  001.375
Success-secs: 421808970.314  001.397
Success-secs: 421808972.719  001.553
Success-secs: 421808975.284  001.445
Fail #1-secs: 421808977.737  018.419
Success-secs: 421808996.157  000.161
Success-secs: 421808997.327  000.318
Fail #1-secs: 421808998.653  018.819
Success-secs: 421809017.473  000.192
Success-secs: 421809018.673  001.370
Success-secs: 421809027.470  001.482
Success-secs: 421809029.960  001.451
Success-secs: 421809032.419  001.448
Fail #1-secs: 421809037.089  026.262
Success-secs: 421809063.351  000.195
Fail #1-secs: 421809064.555  019.322
Success-secs: 421809083.877  000.178
Success-secs: 421809087.237  001.619
Success-secs: 421809089.866  000.323
Success-secs: 421809091.197  001.344
Success-secs: 421809101.108  001.571
Fail #1-secs: 421809111.208  018.328
Success-secs: 421809129.537  000.165
Success-secs: 421809134.107  001.442
Fail #1-secs: 421809137.507  018.319
Success-secs: 421809155.826  000.209
Success-secs: 421809166.091  000.484
Success-secs: 421809168.554  001.376
Success-secs: 421809170.940  000.130
Fail #1-secs: 421809172.100  018.325
Success-secs: 421809190.426  000.159
Success-secs: 421809197.260  000.113
Success-secs: 421809198.381  000.104
Success-secs: 421809199.493  001.487
Success-secs: 421809201.987  001.451
Success-secs: 421809211.775  001.493
Success-secs: 421809214.276  001.449
Success-secs: 421809216.739  001.448
Success-secs: 421809222.468  001.552
Success-secs: 421809225.030  000.107
Fail #1-secs: 421809226.145  019.315
Success-secs: 421809245.461  000.211
Success-secs: 421809246.678  001.281
Success-secs: 421809248.966  001.343
Success-secs: 421809251.317  001.343
Fail #1-secs: 421809253.667  018.323
Success-secs: 421809271.991  000.217
Success-secs: 421809279.978  000.287
Success-secs: 421809281.272  000.362
Success-secs: 421809287.299  000.309
Fail #1-secs: 421809288.615  018.370
Success-secs: 421809306.986  000.159
Success-secs: 421809308.151  001.283
Success-secs: 421809317.356  000.154
Success-secs: 421809318.520  001.345
Fail #1-secs: 421809324.229  018.328
Success-secs: 421809342.557  000.247
Success-secs: 421809343.813  000.243
Success-secs: 421809353.460  001.425
Success-secs: 421809363.552  001.470
Success-secs: 421809373.658  000.249
Success-secs: 421809377.493  001.358
Fail #1-secs: 421809388.859  019.156
Success-secs: 421809408.016  000.212
Success-secs: 421809409.239  000.115
Success-secs: 421809410.363  000.431
Success-secs: 421809413.073  001.410
Success-secs: 421809415.491  001.607
Success-secs: 421809418.105  001.905
Success-secs: 421809423.029  000.264
Success-secs: 421809424.301  001.393
Fail #1-secs: 421809434.411  025.290
Success-secs: 421809459.701  000.171
Success-secs: 421809470.881  001.351
Success-secs: 421809473.239  000.529
Success-secs: 421809474.775  000.675
Success-secs: 421809476.459  001.609
Fail #1-secs: 421809479.076  018.381
Success-secs: 421809497.458  000.176
Success-secs: 421809498.660  001.387
Fail #1-secs: 421809501.054  019.275
Success-secs: 421809520.330  000.174
Success-secs: 421809526.511  001.323
Fail #1-secs: 421809536.607  018.323
Success-secs: 421809554.930  000.154
Success-secs: 421809557.505  001.417
Success-secs: 421809568.909  001.458
Success-secs: 421809579.011  001.353
Success-secs: 421809585.004  001.504
Success-secs: 421809596.414  013.094
Success-secs: 421809612.958  001.331
Fail #1-secs: 421809617.424  018.375
Success-secs: 421809635.800  001.247
Success-secs: 421809640.754  001.357
Success-secs: 421809650.860  001.387
Success-secs: 421809660.960  000.327
Success-secs: 421809665.871  001.419
Success-secs: 421809677.263  000.113
Success-secs: 421809678.384  001.511
Fail #1-secs: 421809694.970  018.327
Success-secs: 421809713.297  000.191
Success-secs: 421809726.428  001.388
Success-secs: 421809728.825  000.327
Success-secs: 421809730.160  001.375
Success-secs: 421809732.542  001.372
Success-secs: 421809734.925  000.311
Success-secs: 421809736.244  001.303
Success-secs: 421809738.556  001.548
Success-secs: 421809741.112  000.529
Success-secs: 421809743.380  000.119
Success-secs: 421809744.509  001.432
Success-secs: 421809761.015  000.240
Success-secs: 421809762.265  001.493
Fail #1-secs: 421809778.834  018.628
Success-secs: 421809797.463  000.210
Success-secs: 421809798.683  000.108
Success-secs: 421809813.868  000.272
Success-secs: 421809815.149  001.446
Success-secs: 421809831.671  001.329
Success-secs: 421809848.081  000.316
Success-secs: 421809849.406  001.219
Success-secs: 421809857.457  001.264
Success-secs: 421809873.798  001.472
Fail #1-secs: 421809890.345  019.321
Success-secs: 421809909.666  000.229
Success-secs: 421809911.708  001.347
Success-secs: 421809917.429  000.135
Success-secs: 421809918.572  001.548
Success-secs: 421809935.195  001.514
Success-secs: 421809951.787  001.509
Success-secs: 421809968.371  000.406
Success-secs: 421809969.787  001.326
Success-secs: 421809975.425  001.266
Success-secs: 421809977.703  001.291
Success-secs: 421809982.035  000.244
Fail #1-secs: 421809983.288  018.754
Success-secs: 421810002.042  000.210
Success-secs: 421810003.260  000.330
Success-secs: 421810004.599  000.920
Fail #1-secs: 421810020.595  018.329
Success-secs: 421810038.924  000.246
Success-secs: 421810054.243  001.349
Success-secs: 421810070.670  000.186
Success-secs: 421810071.865  000.289
Success-secs: 421810087.229  001.540
Success-secs: 421810097.459  001.447
Success-secs: 421810113.983  001.512
Fail #1-secs: 421810130.574  021.380
Success-secs: 421810151.957  000.159
Fail #1-secs: 421810157.479  018.377
Success-secs: 421810175.857  000.194
Success-secs: 421810188.563  001.587
Success-secs: 421810205.226  001.505
Fail #1-secs: 421810217.470  018.341
Success-secs: 421810235.812  000.165
Success-secs: 421810238.484  000.097
Fail #1-secs: 421810239.589  018.385
Success-secs: 421810257.975  000.297
Fail #1-secs: 421810273.346  019.360
Success-secs: 421810292.707  000.157
Success-secs: 421810298.814  001.610
Fail #1-secs: 421810315.502  018.333
Success-secs: 421810333.836  000.172
Success-secs: 421810337.457  001.367
Fail #1-secs: 421810353.904  019.371
Success-secs: 421810373.276  000.241
Success-secs: 421810375.256  001.353
Success-secs: 421810391.681  001.516
Success-secs: 421810397.482  010.767
Success-secs: 421810409.258  000.528
Fail #1-secs: 421810411.847  018.324
Success-secs: 421810430.172  000.194
Fail #1-secs: 421810445.440  018.375
Success-secs: 421810463.815  000.161
Fail #1-secs: 421810478.869  018.418
Success-secs: 421810497.287  000.295
Success-secs: 421810512.664  001.568
Fail #1-secs: 421810517.460  018.333
Success-secs: 421810535.794  000.158
Fail #1-secs: 421810550.709  019.371
Success-secs: 421810570.081  000.246
Success-secs: 421810572.419  001.409
Fail #1-secs: 421810577.476  018.324
Success-secs: 421810595.800  000.161
Fail #1-secs: 421810602.035  018.330
Success-secs: 421810620.366  000.250
Fail #1-secs: 421810635.692  023.318
Success-secs: 421810659.011  000.162
Success-secs: 421810674.250  000.285
Success-secs: 421810675.545  000.118
Fail #1-secs: 421810690.738  026.238
Success-secs: 421810716.978  000.212
Fail #1-secs: 421810720.042  018.321
Success-secs: 421810738.363  000.183
Success-secs: 421810739.555  001.385
Success-secs: 421810741.948  001.312
Success-secs: 421810757.456  001.610
Success-secs: 421810760.074  000.250
Success-secs: 421810775.403  002.289
Success-secs: 421810792.770  000.121
Fail #1-secs: 421810793.901  018.325
Success-secs: 421810812.227  000.242
Success-secs: 421810817.479  001.488
Success-secs: 421810834.040  000.196
Success-secs: 421810835.245  000.277
Success-secs: 421810850.597  001.441
Fail #1-secs: 421810867.130  031.727
Success-secs: 421810898.857  000.258
Success-secs: 421810914.191  001.289
Success-secs: 421810917.672  000.518
Success-secs: 421810919.196  001.452
Fail #1-secs: 421810935.725  023.238
Success-secs: 421810958.964  000.217
